name,link,locations,credential
Industrial Mechanics,https://saskpolytech.ca/programs-and-courses/programs/Industrial-Mechanics.aspx,"Prince Albert, Saskatoon",Certificate
Information Resources Management,https://saskpolytech.ca/programs-and-courses/programs/Information-Resources-Management-Post-Grad-Certificate.aspx,"Moose Jaw, Prince Albert, Regina",Post-Graduate Certificate
Information Technology Project Management,https://saskpolytech.ca/programs-and-courses/programs/Information-Technology-Project-Management.aspx,"Moose Jaw, Prince Albert, Regina, Saskatoon",Post-Graduate Certificate
Innovative Manufacturing,https://saskpolytech.ca/programs-and-courses/programs/Innovative-Manufacturing.aspx,Regina,Diploma
Instrumentation Engineering Technology,https://saskpolytech.ca/programs-and-courses/programs/Instrumentation-Engineering-Technology.aspx,Moose Jaw,Diploma
Insurance,https://saskpolytech.ca/programs-and-courses/programs/Business-Diploma.aspx,See program page for details,Diploma
Integrated Resource Management,https://saskpolytech.ca/programs-and-courses/programs/Integrated-Resource-Management.aspx,Prince Albert,Diploma
Interactive Design and Technology,https://saskpolytech.ca/programs-and-courses/programs/Interactive-Design-and-Technology.aspx,"Regina, Saskatoon",Diploma
Interior Design,https://saskpolytech.ca/programs-and-courses/programs/Architectural-Technologies.aspx,See program page for details,Diploma
Justice Studies,https://saskpolytech.ca/programs-and-courses/programs/Justice-Studies.aspx,"Prince Albert, Regina, Saskatoon",Diploma
Leadership and Coaching Development,https://saskpolytech.ca/programs-and-courses/programs/Leadership-and-Coaching-Development.aspx,Other,Certificate of Achievement
Leadership for Safety Professionals,https://saskpolytech.ca/programs-and-courses/programs/Leadership-for-Safety-Professionals.aspx,Online/Distance,Applied Certificate
Leadership Skills,https://saskpolytech.ca/programs-and-courses/programs/Leadership-Skills.aspx,Online/Distance,Certificate of Achievement
Leisure and Tourism Management,https://saskpolytech.ca/programs-and-courses/programs/Leisure-and-Tourism-Management.aspx,"Prince Albert, Saskatoon",Post-Graduate Certificate
Library and Information Technology,https://saskpolytech.ca/programs-and-courses/programs/Library-and-Information-Technology.aspx,Saskatoon,Diploma
Library Clerk,https://saskpolytech.ca/programs-and-courses/programs/Library-Clerk.aspx,Online/Distance,Applied Certificate
Logistics and Supply Chain Management,https://saskpolytech.ca/programs-and-courses/programs/Logistics-and-Supply-Chain-Management.aspx,"Moose Jaw, Regina",Post-Graduate Certificate
Machinist,https://saskpolytech.ca/programs-and-courses/programs/Machinist.aspx,"Regina, Saskatoon",Certificate
Management,https://saskpolytech.ca/programs-and-courses/programs/Business-Diploma.aspx,See program page for details,Diploma
Marketing,https://saskpolytech.ca/programs-and-courses/programs/Business-Diploma.aspx,See program page for details,Diploma
Mechanical Engineering Technology,https://saskpolytech.ca/programs-and-courses/programs/Mechanical-Engineering-Technology.aspx,Saskatoon,Diploma
Media Production,https://saskpolytech.ca/programs-and-courses/programs/Media-Production.aspx,Saskatoon,Diploma
Medical Device Reprocessing Technician,https://saskpolytech.ca/programs-and-courses/programs/Medical-Device-Reprocessing-Technician.aspx,Online/Distance,Certificate of Achievement
Medical Laboratory Assistant,https://saskpolytech.ca/programs-and-courses/programs/Medical-Laboratory-Assistant.aspx,Saskatoon,Certificate
Medical Laboratory Technology,https://saskpolytech.ca/programs-and-courses/programs/Medical-Laboratory-Technology.aspx,Saskatoon,Advanced Diploma
Medical Radiologic Technology,https://saskpolytech.ca/programs-and-courses/programs/Medical-Radiologic-Technology.aspx,Saskatoon,Advanced Diploma
Mental Health and Addictions Counselling,https://saskpolytech.ca/programs-and-courses/programs/Mental-Health-and-Addictions-Counselling.aspx,Online/Distance,Diploma
Mining Engineering Technology,https://saskpolytech.ca/programs-and-courses/programs/Mining-Engineering-Technology.aspx,Saskatoon,Diploma
Municipal Administration,https://saskpolytech.ca/programs-and-courses/programs/Business-Diploma.aspx,See program page for details,Diploma
Nursing (Bachelor of Psychiatric Nursing),https://saskpolytech.ca/programs-and-courses/programs/Bachelor-of-Psychiatric-Nursing.aspx,Online/Distance,Degree
Nursing (Collaborative Nurse Practitioner),https://saskpolytech.ca/programs-and-courses/programs/Collaborative-Nurse-Practitioner.aspx,Other,Degree
Nursing (Practical Nursing),https://saskpolytech.ca/programs-and-courses/programs/Practical-Nursing.aspx,"Online/Distance, Prince Albert, Regina, Saskatoon",Diploma
Nursing (Psychiatric Nursing),https://saskpolytech.ca/programs-and-courses/programs/Psychiatric-Nursing-Advanced-Diploma.aspx,"Regina, Saskatoon",Advanced Diploma
Nursing (Saskatchewan Collaborative Bachelor of Science in Nursing),https://saskpolytech.ca/programs-and-courses/programs/Saskatchewan-Collaborative-Bachelor-of-Science-in-Nursing.aspx,"Regina, Saskatoon",Degree
Occupational Health and Safety,https://saskpolytech.ca/programs-and-courses/programs/Occupational-Health-and-Safety.aspx,"Online/Distance, Saskatoon",Certificate
Occupational Health Nursing,https://saskpolytech.ca/programs-and-courses/programs/Occupational-Health-Nursing.aspx,Online/Distance,Post-Graduate Certificate
Office Administration,https://saskpolytech.ca/programs-and-courses/programs/Office-Administration.aspx,"Online/Distance, Prince Albert, Regina",Certificate
Pain Management for Nursing Professionals,https://saskpolytech.ca/programs-and-courses/programs/Pain-Management-for-Nursing-Professionals.aspx,Online/Distance,Certificate of Achievement
Parts Management Technician,https://saskpolytech.ca/programs-and-courses/programs/Parts-Management-Technician.aspx,Online/Distance,Certificate
Parts Person,https://saskpolytech.ca/programs-and-courses/programs/Parts-Person.aspx,"Online/Distance, Saskatoon",Applied Certificate
Perioperative Nursing/LPN,https://saskpolytech.ca/programs-and-courses/programs/Perioperative-Nursing-LPN.aspx,Online/Distance,Advanced Certificate
Perioperative Nursing/RN,https://saskpolytech.ca/programs-and-courses/programs/Perioperative-Nursing-RN.aspx,Online/Distance,Advanced Certificate
